name,zone,remark,collected,toReturn,active
GOYLA CABLE NETWORK,Meerut++,Denied,0,486,197
V S Communication,Meerut++,The CSP is a part of association of partners in bijnor who will decide on the future course of action post their common meeting,0,97,44
Together Communication,Meerut++,The CSP is a part of association of partners in bijnor who will decide on the future course of action post their common meeting,0,89,12
One Infra & Technologies,Meerut++,CSP has clearly denied to hand over the devices,0,84,37
Saleem Cable T V Network,Bareilly,89 devices collected,89,0,109
ONE INFRA & TECHNOLOGY,Meerut++,CSP has clearly denied to hand over the devices,0,81,33
Sharma Digital,Agra,81 devices collected,81,78,83
Anu Bijnor,Meerut++,The partners is a part of association of partners in bijnor who will decide on the future course of action post their common meeting,0,75,24
J S Network,Meerut++,abhi bahar hai 2-3 din me aayega to call krk bol dega,0,69,21
Adi Shree Netcom,Meerut City,CSP denied to return devices,62,65,52
R Star Broadband Network,Bareilly++,53 devices collected,53,64,38
DEEP STAR CABLE NETWORK,Meerut++,30 devices collected,30,34,89
Shri Ram Pankaj Cable Net,Bareilly,The CSP has declined to return the devices at this stage.,0,56,13
Kamlesh,Meerut++,The partners is a part of association of partners in bijnor who will decide on the future course of action post their common meeting,0,40,58
Pradeep Kumar Jain,Meerut++,The partners is a part of association of partners in bijnor who will decide on the future course of action post their common meeting,0,44,54
Kanha Enterprise,Meerut++,36 devices collected,36,0,7
Rahul Sharma,Meerut++,The partners is a part of association of partners in bijnor who will decide on the future course of action post their common meeting,0,36,26
BALA JI DIGITAL CABLE NETWORK,Meerut++,26 devices collected,26,8,21
M/S K V ENTERPRISES,Bareilly++,29 devices collected,29,5,27
Giga Extream fiber,Bareilly++,24 devices collected,24,33,41
R K Cable Network,Meerut++,3 devices collected,3,29,39
Ansar Patholi,Agra,28 devices collected,28,28,37
AVSM ENTERPRISES,Bareilly++,22 devices collected,22,26,33
Agra Network,Agra,He is out of station will meet by thursday,0,26,10
Akash Digital Network,Meerut++,CSP bol rha hai ki connection do... return k liye discussion,0,26,16
Anaya Broadband,Meerut City,CSP Hospitalised will inform after 2 days for pickup,0,26,8
Perfect Communication,Meerut++,csp not ready to return,0,26,0
Vipin Pal,Meerut++,The CSP is a part of association of partners in bijnor who will decide on the future course of action post their common meeting,0,26,62
RSP Telecom,Agra++,13 devices collected,13,2,21
Pappu Cable Network,Bareilly,CSP hospitalized last 8 days will return once he comes back,0,13,4
Anjani Broadband,Bareilly++,12 devices collected,12,0,5
Gayatri Cable Network,Meerut++,20 devices collected,20,0,157
Manoj Internet Services Private Limited,Meerut++,,0,11,41
PALTECH INFO SERVICES PVT LTD,Agra,Ready to return by 1 Sep.,0,11,9
QURESH CABLE NETWORK,Bareilly,Denied to Return,0,0,0
Tripti Broadband,Meerut++,7 devices collected,7,2,76
Wideband Cable And Broadband Network,Bareilly++,6 devices collected,6,9,0
AVI NETWORK Sakoti,Meerut++,32 devices collected,32,8,92
Ashok Kumar,Meerut++,The CSP is a part of association of partners in bijnor who will decide on the future course of action post their common meeting,0,24,68
7R Network Solutions,Bareilly++,has taken up project in uttarakhand not available in city,0,4,9
Rediance Entertainment Digital World,Agra++,CSP said i have return 6 devices by courier and rest i will install new connection.,6,3,69
SHAKYA IT SOLUTIONS,Agra,15 devices collected,15,4,149
Solid Network Services,Meerut++,4 devices collected,4,0,49
Tiger Net Muradnagar,Meerut++,"CSP said ekbaar bhaiya se baat krk btata hu, ye 4 hi hai baki 6 laga diya hai installation me ye bhi laga dunga",0,4,21
A S Network Solutions,Meerut++,3 devices collected,3,0,28
Khun Khun Cable TV Network,Meerut++,CSP Said team is searching Devices will update today EOD,0,3,19
Me Fiber Internet Service,Agra++,18 Devices collected,18,0,0
Sandeep Cable Network,Meerut City,36 devices collected,36,3,91
E-BAND INTERNET SERVICES,Bareilly++,only 1 ont found at CSP office,1,2,9
Maa Vasnavi internet Services,Agra,Ready to return,0,2,6
Panchsheel InfoTech services,Agra,2 devices collected,2,2,80
VN TECHNOLOGY,Agra++,Will be collected by 1st of Sep,0,2,20
VPN Broadband,Agra,16 devices collected,16,2,0
balaji Enterprises,Agra,Ready to return,0,1,22
Bhavya Tecnology,Agra++,1 Device collected,1,0,3
EASYACCESS INFOTECH,Meerut++,3 devices collected,3,1,13
Khushi Enterprises,Agra++,36 devices collected,36,1,43
Shri Ram Internet,Agra++,46 devices collected,46,0,125
Tara Broadband,Agra++,46 devices collected,46,1,60
Usha Network,Meerut City,62 devices collected,62,1,124
A To Z Cable Network,Bareilly,23 devices collected,23,0,35
Aman Broadband Services,Agra,25 devices collected,25,0,45
Durga cable network,Agra,11 devices collected,11,0,22
EXCL NETWORK,Meerut++,no device to be collected,0,0,34
FIBER LINK,Bareilly++,6 devices collected,6,5,35
KGN Network,Meerut++,no device to be collected,0,0,79
KGN Surya Broadband Internet,Meerut++,no device to be collected,0,0,206
NEERAJ INFOTECH,Meerut City,3 devices collected,3,0,130
OM SAI NET,Meerut++,no device to be collected,0,0,21
Ram Narayan,Agra,no device to be collected,0,0,20
WindNet Pvt Ltd,Agra,no device to be collected,Moradabad,0,0,52
Lava Online Solutions Private Limited,FNF case,47,0,0
